,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
43,Hamburg,Hamburg,Germany,2015.07.27,"€1,407,960",Rafael Nadal,Clay,/en/scores/archive/hamburg/414/2015/results,2015
44,Atlanta,Atlanta,United States,2015.07.27,"$659,070",John Isner,Hard,/en/scores/archive/atlanta/6116/2015/results,2015
45,Gstaad,Gstaad,Switzerland,2015.07.27,"€494,310",Dominic Thiem,Clay,/en/scores/archive/gstaad/314/2015/results,2015
46,Washington,Washington,United States,2015.08.03,"$1,753,020",Kei Nishikori,Hard,/en/scores/archive/washington/418/2015/results,2015
47,Kitzbühel,Kitzbuhel,Austria,2015.08.03,"€494,310",Philipp Kohlschreiber,Clay,/en/scores/archive/kitzbuhel/319/2015/results,2015
48,ATP Masters 1000 Canada,Montreal,Canada,2015.08.10,"$4,178,500",Andy Murray,Hard,/en/scores/archive/montreal/421/2015/results,2015
49,ATP Masters 1000 Cincinnati,Cincinnati,United States,2015.08.16,"$4,457,065",Roger Federer,Hard,/en/scores/archive/cincinnati/422/2015/results,2015
50,Winston-Salem,Winston-Salem,United States,2015.08.23,"$695,515",Kevin Anderson,Hard,/en/scores/archive/winston-salem/6242/2015/results,2015
51,US Open,New York,United States,2015.08.31,"$19,852,700",Novak Djokovic,Hard,/en/scores/archive/us-open/560/2015/results,2015
52,St. Petersburg,St. Petersburg,Russia,2015.09.21,"$1,091,000",Milos Raonic,Hard,/en/scores/archive/st-petersburg/568/2015/results,2015
53,Metz,Metz,France,2015.09.21,"€494,310",Jo-Wilfried Tsonga,Hard,/en/scores/archive/metz/341/2015/results,2015
54,Kuala Lumpur,Kuala Lumpur,Malaysia,2015.09.28,"$1,041,540",David Ferrer,Hard,/en/scores/archive/kuala-lumpur/6003/2015/results,2015
55,Shenzhen,Shenzhen,China,2015.09.28,"$668,945",Tomas Berdych,Hard,/en/scores/archive/shenzhen/6967/2015/results,2015
56,Beijing,Beijing,China,2015.10.05,"$3,944,715",Novak Djokovic,Hard,/en/scores/archive/beijing/747/2015/results,2015
57,Tokyo,Tokyo,Japan,2015.10.05,"$1,397,250",Stan Wawrinka,Hard,/en/scores/archive/tokyo/329/2015/results,2015
58,ATP Masters 1000 Shanghai,Shanghai,China,2015.10.11,"$7,021,335",Novak Djokovic,Hard,/en/scores/archive/shanghai/5014/2015/results,2015
59,Vienna,Vienna,Austria,2015.10.19,"€2,324,045",David Ferrer,Hard,/en/scores/archive/vienna/337/2015/results,2015
60,Moscow,Moscow,Russia,2015.10.19,"$771,525",Marin Cilic,Hard,/en/scores/archive/moscow/438/2015/results,2015
61,Stockholm,Stockholm,Sweden,2015.10.19,"€604,155",Tomas Berdych,Hard,/en/scores/archive/stockholm/429/2015/results,2015
62,Basel,Basel,Switzerland,2015.10.26,"€2,022,300",Roger Federer,Hard,/en/scores/archive/basel/328/2015/results,2015
63,Valencia,Valencia,Spain,2015.10.26,"€604,155",Joao Sousa,Hard,/en/scores/archive/valencia/573/2015/results,2015
