,FootballTeam,Country,City,Stadium,Capacity
365,Girona FC,Spain,Girona,Estadi Municipal de Montilivi,"9,500"
366,Granada CF,Spain,Granada,Estadio de Los Carmenes,"22,500"
367,SD Huesca,Spain,Huesca,Estadio El Alcoraz,"7,683"
368,Real Union Club de Irun,Spain,Irun,Stadium Gal,"5,000"
369,UD Las Palmas,Spain,Las Palmas,Estadio de Gran Canaria,"31,250"
370,CD Leganes,Spain,Leganes,Estadio Municipal de Butarque,"10,958"
371,UD Logrones SD Logrones,Spain,Logrono,Estadio Las Gaunas,"16,000"
372,Atletico de Madrid,Spain,Madrid,Wanda Metropolitano,"68,000"
373,Rayo Vallecano,Spain,Madrid,Campo de Futbol de Vallecas,"14,708"
374,Real Madrid CF,Spain,Madrid,Estadio Santiago Bernabeu,"81,044"
375,Malaga CF,Spain,Malaga,Estadio La Rosaleda,"30,044"
376,Real Murcia FC,Spain,Murcia,Estadio Nueva Condomina,"31,179"
377,Real Oviedo,Spain,Oviedo,Estadio Carlos Tartiere,"30,500"
378,RCD Mallorca,Spain,Palma de Mallorca,Iberostar Estadio,"23,142"
